Date,Accenture,Adobe,Amazon,Apple,Cisco,Google,Imax,MCDonalds,Meta,Microsoft,Netflix,Nvidia,Oracle,Take Two,Tesla
3/19/2015,90.190002441406,77.139999389648,18.662000656128,31.875,28.260000228882,27.823112487793,34.560001373291,95.980003356934,82.75,42.290000915527,60.744285583496,5.8049998283386,44.159999847412,25.719999313354,13.043333053589
3/20/2015,91.480003356934,77.360000610352,18.924499511719,31.47500038147,28.440000534058,27.941286087036,34.540000915527,97.050003051758,83.800003051758,42.880001068115,61.18571472168,5.8674998283386,44.409999847412,25.680000305176,13.205332756042
3/23/2015,91.540000915527,76.349998474121,18.755500793457,31.802499771118,28.409999847412,27.863998413086,34.349998474121,98.620002746582,84.430000305176,42.860000610351,60.714286804199,5.6774997711182,44.25,25.680000305176,13.308667182922
3/24/2015,89.410003662109,75.449996948242,18.704500198364,31.672500610351,28.0,28.431440353394,34.009998321533,99.360000610352,85.309997558594,42.900001525879,62.611427307129,5.5999999046326,43.709999084473,25.579999923706,13.447999954224
3/25/2015,88.209999084473,73.129997253418,18.548000335693,30.844999313354,27.459999084473,27.862752914429,33.930000305176,98.139999389648,82.919998168945,41.459999084473,60.25,5.2600002288818,42.930000305176,25.020000457764,12.953332901001
3/26/2015,94.169998168945,72.970001220703,18.367500305176,31.059999465942,27.090000152588,27.682498931885,33.930000305176,97.639999389648,83.01000213623,41.209999084473,59.751430511475,5.2424998283386,42.990001678467,24.739999771118,12.694000244141
3/27/2015,93.940002441406,73.309997558594,18.52799987793,30.8125,27.129999160767,27.341932296753,33.709999084473,96.959999084473,83.300003051758,40.970001220703,59.252857208252,5.3449997901917,42.639999389648,25.260000228882,12.333333015442
3/30/2015,94.419998168945,73.599998474121,18.729499816894,31.592500686646,27.64999961853,27.525928497314,34.0,97.879997253418,83.199996948242,40.959999084473,60.367141723633,5.3674998283386,43.439998626709,25.209999084473,12.70466709137
3/31/2015,93.690002441406,73.940002441406,18.604999542236,31.107500076294,27.530000686646,27.324979782104,33.709999084473,97.440002441406,82.220001220703,40.659999847412,59.527141571045,5.2325000762939,43.150001525879,25.459999084473,12.584667205811
4/1/2015,93.559997558594,75.069999694824,18.513000488281,31.0625,27.25,27.05372428894,33.529998779297,96.290000915527,81.669998168945,40.720001220703,59.017143249512,5.2525000572205,42.939998626709,24.819999694824,12.505999565124
4/2/2015,94.180000305176,75.680000305176,18.612499237061,31.329999923706,27.129999160767,26.703186035156,34.25,95.830001831055,81.559997558594,40.290000915527,59.154285430908,5.2649998664856,42.619998931885,25.0,12.733332633972
4/6/2015,95.690002441406,76.230003356934,18.851999282837,31.83749961853,27.219999313354,26.764766693115,35.900001525879,96.279998779297,82.440002441406,41.54999923706,60.330001831055,5.4175000190735,42.959999084473,24.879999160767,13.539999961853
4/7/2015,96.389999389648,75.650001525879,18.720500946045,31.502500534058,27.389999389648,26.777481079101,35.279998779297,96.349998474121,82.319999694824,41.529998779297,60.494285583496,5.4650001525879,42.959999084473,25.139999389648,13.550000190735
4/8/2015,95.120002746582,75.440002441406,19.059999465942,31.39999961853,27.549999237061,27.006353378296,36.330001831055,96.849998474121,82.279998779297,41.419998168945,63.04999923706,5.5050001144409,43.110000610351,25.420000076294,13.844667434692
4/9/2015,95.470001220703,76.330001831055,19.177000045776,31.639999389648,27.629999160767,26.964967727661,36.180000305176,96.550003051758,82.169998168945,41.479999542236,62.785713195801,5.6325001716614,43.200000762939,24.819999694824,14.005999565124
4/10/2015,94.690002441406,76.529998779297,19.132499694824,31.77499961853,28.040000915527,26.926572799683,36.180000305176,97.800003051758,82.040000915527,41.720001220703,64.938568115234,5.6900000572205,43.509998321533,25.270000457764,14.060000419617
4/13/2015,93.48999786377,76.019996643066,19.118000030517,31.71249961853,27.979999542236,26.884687423706,36.240001678467,97.440002441406,83.01000213623,41.759998321533,67.811431884766,5.6374998092651,43.080001831055,24.739999771118,13.985333442688
4/14/2015,93.809997558594,75.949996948242,19.255500793457,31.575000762939,27.809999465942,26.446889877319,36.180000305176,97.580001831055,83.519996643066,41.650001525879,68.387145996094,5.5900001525879,42.729999542236,24.930000305176,13.830666542053
4/15/2015,94.160003662109,76.029998779297,19.172500610351,31.694999694824,28.25,26.553596496582,35.860000610351,96.440002441406,82.709999084473,42.259998321533,67.922859191895,5.6574997901917,43.990001678467,25.030000686646,13.855333328247
4/16/2015,94.059997558594,75.150001525879,19.302000045776,31.542499542236,28.60000038147,26.61692237854,36.099998474121,95.629997253418,82.309997558594,42.159999847412,80.292854309082,5.6224999427795,43.459999084473,25.030000686646,13.779999732971
4/17/2015,92.389999389648,73.150001525879,18.77799987793,31.1875,27.920000076294,26.130758285522,35.990001678467,94.879997253418,80.779998779297,41.619998931885,81.650001525879,5.5500001907349,43.0,24.719999313354,13.78600025177
4/20/2015,93.269996643066,73.919998168945,19.475500106811,31.89999961853,28.479999542236,26.695707321167,36.650001525879,96.180000305176,83.089996337891,42.909999847412,81.055717468262,5.522500038147,43.319999694824,24.75,13.684666633606
4/21/2015,93.0,74.620002746582,19.559000015259,31.727500915527,28.690000534058,26.625400543213,37.0,94.870002746582,83.620002746582,42.639999389648,80.062858581543,5.5149998664856,43.419998168945,24.85000038147,13.960666656494
